Товар,Цена,Категория,Краткое описание,Полное описание,Фото,Вес,Длина,Ширина,Высота
 Устройство может хранить любые пароли и прочую важную информацию, состоящую из 123 символов(ASCII).""","""https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-standing-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-sliding-tiles-wide-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-standing-core-wide-1030x687-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-top-1030x824-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-packaging-1030x822-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-closed-front-1030x687-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-open-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-letter-set-1030x635-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/capsule-hand-with-box-and-letters-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-opening-1030x824-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-solo-top-1030x824-min-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,,10.2,,
Cryptosteel Capsule DUO (Капсула),15 500,Хранение резервных копий,"""Новая двойная защита мнемонической фразы и паролей в виде двух капсул""","""Cryptosteel Capsule DUO (Капсула) – это самое надежное физическое устройство для хранения вашей мнемонической фразы и паролей. В комплекте два устройства, что открывает больше возможностей защиты ваших приватных ключей. Например, вы можете разделить вашу кодовую фразу и хранить их в разных местах: фразу в одном месте, а пароли с кодовой фразой в другом и т.д.
 Капсула совместима практически с любыми алгоритмами генерации ключей – BIP39 (не сокращенная мнемоническая фраза из 12 слов или сокращения до 4 уникальных букв из 24 слов), Shamir Backup SLIP39 (4-буквенные аббревиатуры фразы из 20 слов), корневые ключи BIP32, WIF закрытые ключи, Monero Seed (4-буквенные аббревиатуры фразы из 25 слов).
 Устройство может хранить любые пароли и прочую важную информацию, состоящую из 123 символов (ASCII).""","""https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-standing-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-sliding-tiles-wide-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-standing-core-wide-1030x687-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2020/06/0F4A9873-Edit-min_%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-packaging-1030x822-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2020/06/0F4A0859-min-%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2020/06/capsule-sealed-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-opening-1030x824-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2020/06/0F4A9997-min-%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/capsule-hand-with-box-and-letters-1030x686-min-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2019/11/cryptosteel-capsule-letter-set-1030x635-min-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,,10.2,,
Cryptotag Thor Starter Kit,24 900,Хранение резервных копий,"""Высокопрочное устройство с поддержкой до 48 слов мнемоники""","""Устройства CRYPTOTAG Thor Starter Kit сделаны из высокопрочного пуленепробиваемого титана толщиной 6 мм, что обеспечивает наивысшую безопасность для хранения фраз восстановления. Пластины обладают термостойкостью и выдерживают температуру до 1667 °C.
 Набор Thor Starter Kit содержит две пластины, на которых можно записать в общей сложности 48 слов мнемонической фразы для создания резервной копии аппаратного кошелька или какого-либо другого – это основное отличие от Zeus Starter Kit. С помощью пластин Thor вы можете хранить 2-е резервных копии Ledger Nano S/ Nano X или 4-е копии Trezor.""","""https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-23-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-21-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-24-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-26-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-27-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-28-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-11-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-13-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-12-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-10-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-9-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-14-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-15-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-18-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-16-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-thor-17-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.21,11.3,6.8,0.6
Cryptotag Zeus Starter Kit,15 990,Хранение резервных копий,"""Пуленепробиваемая пластина для защиты резервных фраз""","""CRYPTOTAG Zeus Starter Kit – устройство для хранения мнемонических фраз из двух пластин, для создания которых использовался пуленепробиваемый титан толщиной 6 мм, способный выдержать температуру до 1667 °C. Подходит для хранения 24 или двух 12-словных seed-фраз. Например, вы можете сделать копию одного кошелька Ledger Nano S/X или двух Trezor.
 Пластины Zeus Starter Kit станут отличным решением для тех, кто хочет максимально защитить программный или аппаратный кошелек для долгосрочного хранения криптоактивов. Буквы на титановую пластину наносятся с помощью специального кернера, поставляемого в комплекте с устройством.""","""https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-20-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-23-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-21-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-16-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-27-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-25-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-12-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-13-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-14-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-8-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-22-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-15-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-11-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-10-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-9-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/10/cryptotag-zeus-17-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.21,11.3,6.8,0.6
SafePal Cypher,5 500,Хранение резервных копий,"""Огнеупорное устройство для хранения seed-фразы""","""SafePal Cypher – безопасное устройство для хранения резервных копий для восстановления кошельков в огнеупорном и водонепроницаемом корпусе. Подходит для защиты аппаратных кошельков, совместимых с seed-фразой из 12, 18 и 24 слов. Простая установка и удобное хранение мнемонической фразы BIP39 и BIP44.
 Корпус SafePal Cypher сделан из нержавеющей стали марки 304, устойчив к коррозии и способен выдерживать температуры до 1398 градусов по Цельсию или до 2548 по Фаренгейту. В комплект входит устройство, ключ, дощечка с буквами и инструкция пользователя.""","""https://cryptonist.ru/wp-content/uploads/2021/04/safepal-cypher-04-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/safepal-cypher-05-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/safepal-cypher-06-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/safepal-cypher-07-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/safepal-cypher-08-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/safepal-cypher-09-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/safepal-cypher-001-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/safepal-cypher-02-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/safepal-cypher-03-100x100.jpg, data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E, """,0.19,9.1,5.8,0.6
Устройство контроля доступа Yubikey Bio TypeC,11 990,Хранение резервных копий,"""Компактный и водонепроницаемый U2F-ключ с поддержкой протокола FIDO""","""Устройство Yubikey C Bio FIDO Edition — удобный и компактный U2F-ключ с биометрической аутентификацией для надежной защиты аккаунтов от взлома и утечки данных в приложениях и веб-сервисах. Аутентификатор обеспечивает безопасность благодаря беспарольному входу в учетные записи.
  Главное отличие аппаратных ключей Yubikey Bio FIDO Edition и C Bio — только в способе подключения кабелями: последний использует разъем USB Type-C, чтобы соединить устройство и компьютер. Данная модель не поддерживает бесконтактное подключение, в отличие от аппаратных аутентификаторов с поддержкой NFC-модулей.
  Серия Yubikey Bio FIDO Edition поддерживает протокол FIDO и WebAuth, а также настройку методов аутентификации: двухфакторной или мультифакторной.""","""https://cryptonist.ru/wp-content/uploads/2022/02/yubikey-bio-type-c-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/yubikey-bio-type-c-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/yubikey-bio-type-c-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/yubikey-bio-type-c-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/yubikey-bio-type-c-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/yubikey-bio-type-c-06-100x100.jpg, """,0.003,4.5,1.8,0.33
Устройство контроля доступа Yubikey 5C Nano,8 500,U2F токены,"""Компактный U2F-ключ для защиты аккаунтов""","""YubiKey 5C Nano – прочное и водонепроницаемое устройство контроля доступа, которое надежно защищает учетные записи от кражи с помощью одноразовых паролей (код доступа). Ключ обеспечивает безопасность аккаунтов на аппаратном уровне и коннектится к ПК через USB-C порт. Для работы понадобится операционная система Windows, macOS или Linux.
 Одни из главных особенностей YubiKey 5C Nano – компактный размер платы, работа с сотнями онлайн-сервисов и программ, а также управление беспарольным доступом через приложение. Устройство поддерживает множество протоколов: Yubico, UTF, FIDO, FIDO2, OATH-HOTP, OpenPGP, смарт-карта (PIV) и другие.""","""https://cryptonist.ru/wp-content/uploads/2022/02/yubikey-5c-nano-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/yubikey-5c-nano-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/yubikey-5c-nano-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/yubikey-5c-nano-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/02/yubikey-5c-nano-4-100x100.jpg, """,0.001,1.01,1.2,0.7
Аппаратный ключ аутентификации YubiKey Bio FIDO Edition,10 990,U2F токены,"""Водонепроницаемый биометрический аутентификатор с поддержкой протоколов FIDO""","""YubiKey Bio FIDO Edition – это устройство с биометрической аутентификацией, которое обеспечивает быстрый беспарольный вход в аккаунт по отпечатку пальца, и асимметричной криптографией. Аппаратный аутентификатор предназначен для использования с настольным компьютером и работает без аккумулятора. Портативный YubiKey Bio подключается к устройству через USB-A.
 Поддерживает протоколы безопасности FIDO Universal U2F и FIDO2. Девайс герметичен, защищен от вскрытия и произведен из прочного, водонепроницаемого и устойчивого к давлению материала. Совместим с любым браузером, поддерживающим стандарт FIDO: Google Chrome, Opera, Mozilla Firefox и прочими. Серия YubiKey Bio не работает с сервисом Last Pass.""","""https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-bio-fido-edition-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-bio-fido-edition-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-bio-fido-edition-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-bio-fido-edition-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-bio-fido-edition-6-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-bio-fido-edition-7-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-bio-fido-edition-1-100x100.jpg, """,0.003,4.5,1.8,0.33
Аппаратный ключ аутентификации YubiKey 5Ci,9 990,U2F токены,"""Водонепроницаемый YubiKey 5Ci с поддержкой подключений USB-C и Lightning""","""YubiKey 5Ci обеспечивает надежную защиту от фишинга аккаунтов: соцсетей, почтовых служб и многих других веб-сервисов. Устройство  поддерживает протоколы FIDO2, Yubico OTP, OATH HOTP, U2F, PIV и Open PGP. Имеет двухфакторную и мультифакторную аутентификацию в соответствии с лучшими стандартами безопасности. Беспарольный вход в учетную запись пользователя с помощью девайса в 4 раза быстрее, чем при вводе пароля.
 Прочный водонепроницаемый корпус защищает устройство от влаги и механических повреждений, что позволяет без страха брать его с собой в путешествия. Компактный ключ легко помещается в кармане или кошельке. YubiKey 5Ci может работать автономно без аккумулятора или подключения к сети.
 YubiKey доверяют крупные компании, такие как Google и Facebook. В ответ на растущее количество поддерживаемых приложений для iOS, YubiKey 5Ci с типом подключения Lightning стал отличным решением для поклонников iPhone.""","""https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5ci-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5ci-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5ci-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5ci-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5ci-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5ci-6-100x100.jpg, """,0.0029,4,1.2,0.5
Аппаратный ключ аутентификации YubiKey 5C NFC,8 990,U2F токены,"""Универсальный аутентификатор YubiKey 5C NFC с типом подключения USB-C""","""YubiKey 5C NFC – аппаратный аутентификатор с типом подключения USB-C для продвинутой защиты аккаунтов большинства онлайн-сервисов от краж и фишинговых атак. Девайс прост в установке и настройке, обладает интуитивно-понятным интерфейсом, поддерживает беспарольный вход в учетную запись пользователя и многофакторную аутентификацию по отпечатку пальца или PIN-коду.
 Встроенный NFC-чип обеспечивает бесконтактный доступ к аккаунтам на устройствах iOS и Android. YubiKey 5C NFC поддерживает стандарты безопасности FIDO2, OATH HOTP, Yubico OTP, Open PGP, U2F и PIV. Работает без аккумулятора. Скорость аутентификации в 4 раза быстрее, чем у девайсов на основе OTP или SMS.""","""https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5c-nfc-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5c-nfc-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5c-nfc-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5c-nfc-4-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5c-nfc-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/11/yubikey-5c-nfc-6-100x100.jpg, """,0.003,4.5,1.8,0.33
Аппаратный ключ аутентификации YubiKey 5 NFC,8 490,U2F токены,"""Аппаратный аутентификатор Yubikey 5 NFC для защиты от фишинга""","""Yubikey 5 NFC – прочное и водонепроницаемое устройство аутентификации. Надежно защищает аккаунты email, бирж и соцсетей от несанкционированного доступа на аппаратном уровне.
 Устройство поддерживает подключение через USB-A и бесконтактную синхронизацию через NFC с iOS и Android. Доступна мультифакторная аутентификация без паролей с протоколами U2F, OpenPGP, Yubico OTP и PIV.""","""https://cryptonist.ru/wp-content/uploads/2021/04/yubikey-5-nfc-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/yubikey-5-nfs-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/yubikey-5-nfs-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/yubikey-5-nfs-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/yubikey-5-nfs-4-100x100.jpg, """,0.003,4.5,1.8,0.33
Аппаратный ключ аутентификации Yubikey Security Key NFC USB-C,5 990,U2F токены,"""Компактный аутентификатор Yubikey Security Key NFC с поддержкой USB-C""","""Аутентификаторы Yubikey Security Key NFC обеспечивают быстрый беспарольный вход и надежно защищает пользователей от взлома учетной записи в таких онлайн-сервисах, как Gmail, Google Drive, Twitter, Facebook и множества прочих.
 Единственное, что отличает эту модель Yubikey Security Key NFC от аналогичной – проводная связь через USB-C вместо USB-A. Встроенный NFC-чип обеспечивает бесконтактное подключение к смартфонам. а протоколы U2F и FIDO – безопасную и простую двухфакторную аутентификацию.
 Устройства совместимы с Google Chrome, Firefox и Safari и другими известными браузерами. Данная модель поддерживается ОС Windows, macOS и Linux.""","""https://cryptonist.ru/wp-content/uploads/2021/04/yubikey-security-key-nfc-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2022/01/security-key-nfc-usb-c-1-100x100.jpg, """,0.0036,4.5,1.8,0.33
Аппаратный ключ аутентификации Yubikey Security Key NFC USB-A,5 490,U2F токены,"""Аппаратный аутентификатор Yubikey Security Key для защиты от фишинга""","""Yubikey Security Key NFC – безопасный аппаратный аутентификатор с поддержкой протоколов U2F и FIDO. От модели Security Key устройство отличает наличие модуля NFC для бесконтактной связи со смартфонами. Для проводного подключения используется USB-A. Предотвращает взлом учетной записи в сервисах Gmail, Dropbox, Facebook и сотнях других.
 Надежная двухфакторная аутентификация с беспарольным входом и криптографической защитой.
Поддерживаемые ОС: Windows, MacOS и Linux. Устройство работает практически в любых браузерах, в том числе Google Chrome, Firefox и Safari.""","""https://cryptonist.ru/wp-content/uploads/2021/04/yubikey-security-key-nfc-5-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/yubikey-security-key-nfc-1-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/yubikey-security-key-nfc-2-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/yubikey-security-key-nfc-3-100x100.jpg, https://cryptonist.ru/wp-content/uploads/2021/04/yubikey-security-key-nfc-4-100x100.jpg, """,0.0036,4.5,1.8,0.33
